username,title,location,ID de la respuesta,Pregunta,Respuesta,Respuesta Correcta,block_key,state
ricardof,Eol True or False XBlock,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #2 > Eol True or False XBlock,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@vof+block@7a98d35f5c44491083de606779f51407,"{""attempts"": 2, ""score"": 1.0, ""respuestas"": {""1"": ""verdadero"", ""3"": ""verdadero"", ""2"": ""falso""}, ""respondido"": true}"
dancurimil,Eol True or False XBlock,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #2 > Eol True or False XBlock,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@vof+block@7a98d35f5c44491083de606779f51407,"{""attempts"": 2, ""score"": 0.6666666666666666, ""respuestas"": {""1"": ""verdadero"", ""3"": ""verdadero"", ""2"": ""verdadero""}, ""respondido"": true}"
ThomasPM,freetextresponse,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #3 > freetextresponse,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@freetextresponse+block@c50f82e7ac8447e286b065498f955b2c,"{""count_attempts"": 1, ""score"": 1.0, ""student_answer"": ""asdasdasdasdasdas""}"
Maritza,freetextresponse,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #3 > freetextresponse,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@freetextresponse+block@c50f82e7ac8447e286b065498f955b2c,"{""student_answer"": ""ejnvhdvjdvdv"", ""score"": 1.0, ""count_attempts"": 1}"
ricardof,freetextresponse,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #3 > freetextresponse,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@freetextresponse+block@c50f82e7ac8447e286b065498f955b2c,"{""student_answer"": ""blablaabla"", ""score"": 1.0, ""count_attempts"": 1}"
dancurimil,freetextresponse,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #3 > freetextresponse,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@freetextresponse+block@c50f82e7ac8447e286b065498f955b2c,"{""student_answer"": ""dsfsfsdfdf"", ""score"": 1.0, ""count_attempts"": 1}"
ThomasPM,Duplicado de '',Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #3 > Duplicado de '',,,,,block-v1:cmm+SYSMEPI01+2019_1+type@freetextresponse+block@9c21037d4d7c49948918f1d499fcffd1,"{""count_attempts"": 1, ""score"": 1.0, ""student_answer"": ""asdasdasdasdasda""}"
Maritza,Duplicado de '',Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #3 > Duplicado de '',,,,,block-v1:cmm+SYSMEPI01+2019_1+type@freetextresponse+block@9c21037d4d7c49948918f1d499fcffd1,"{""student_answer"": ""kfbvhbvskbskjk"", ""score"": 1.0, ""count_attempts"": 1}"
ricardof,Duplicado de '',Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #3 > Duplicado de '',,,,,block-v1:cmm+SYSMEPI01+2019_1+type@freetextresponse+block@9c21037d4d7c49948918f1d499fcffd1,"{""student_answer"": ""me llamo la atencion aasas"", ""score"": 1.0, ""count_attempts"": 1}"
dancurimil,Duplicado de '',Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #3 > Duplicado de '',,,,,block-v1:cmm+SYSMEPI01+2019_1+type@freetextresponse+block@9c21037d4d7c49948918f1d499fcffd1,"{""student_answer"": ""dfsdfdsfdsfsfsfd"", ""score"": 1.0, ""count_attempts"": 1}"
ThomasPM,Duplicado de 'Duplicado de ''',Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #3 > Duplicado de 'Duplicado de ''',,,,,block-v1:cmm+SYSMEPI01+2019_1+type@freetextresponse+block@fd42c2a2f4d848f28f8e7d4e6f7250c0,"{""student_answer"": ""sdfsdfsdfsdfsdf"", ""score"": 1.0, ""count_attempts"": 1}"
Maritza,Duplicado de 'Duplicado de ''',Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #3 > Duplicado de 'Duplicado de ''',,,,,block-v1:cmm+SYSMEPI01+2019_1+type@freetextresponse+block@fd42c2a2f4d848f28f8e7d4e6f7250c0,"{""count_attempts"": 1, ""score"": 1.0, ""student_answer"": ""akshbasdbksbkb""}"
ricardof,Duplicado de 'Duplicado de ''',Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #3 > Duplicado de 'Duplicado de ''',,,,,block-v1:cmm+SYSMEPI01+2019_1+type@freetextresponse+block@fd42c2a2f4d848f28f8e7d4e6f7250c0,"{""student_answer"": ""las accionaes des juansadasd"", ""score"": 1.0, ""count_attempts"": 1}"
dancurimil,Duplicado de 'Duplicado de ''',Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #3 > Duplicado de 'Duplicado de ''',,,,,block-v1:cmm+SYSMEPI01+2019_1+type@freetextresponse+block@fd42c2a2f4d848f28f8e7d4e6f7250c0,"{""student_answer"": ""dfsdfsdfsfdsfsdfs"", ""score"": 1.0, ""count_attempts"": 1}"
ThomasPM,Drag and Drop,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #4 > Drag and Drop,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@drag-and-drop-v2+block@aaa1958804674e3cbc63163d86877cb2,"{""item_state"": {}}"
jromo,Drag and Drop,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #4 > Drag and Drop,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@drag-and-drop-v2+block@aaa1958804674e3cbc63163d86877cb2,"{""attempts"": 1, ""item_state"": {""2"": {""correct"": true, ""zone"": ""middle""}}, ""raw_earned"": 0.25}"
UsuarioPruebaCMMEDU,Drag and Drop,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #4 > Drag and Drop,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@drag-and-drop-v2+block@aaa1958804674e3cbc63163d86877cb2,"{""item_state"": {""1"": {""correct"": false, ""zone"": ""top""}}}"
Caro_Ticona,Drag and Drop,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #4 > Drag and Drop,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@drag-and-drop-v2+block@aaa1958804674e3cbc63163d86877cb2,"{""item_state"": {""0"": {""correct"": false, ""zone"": ""middle""}}}"
flavio,Drag and Drop,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #4 > Drag and Drop,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@drag-and-drop-v2+block@aaa1958804674e3cbc63163d86877cb2,"{""attempts"": 1, ""completed"": true, ""item_state"": {""1"": {""correct"": true, ""zone"": ""zone-1""}, ""0"": {""correct"": true, ""zone"": ""bottom""}, ""3"": {""correct"": true, ""zone"": ""top""}, ""2"": {""correct"": true, ""zone"": ""middle""}}, ""raw_earned"": 1.0}"
Maritza,Drag and Drop,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #4 > Drag and Drop,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@drag-and-drop-v2+block@aaa1958804674e3cbc63163d86877cb2,"{""attempts"": 5, ""completed"": true, ""item_state"": {""1"": {""correct"": false, ""zone"": ""top""}, ""0"": {""correct"": true, ""zone"": ""bottom""}, ""3"": {""correct"": false, ""zone"": ""zone-1""}, ""2"": {""correct"": true, ""zone"": ""middle""}}, ""raw_earned"": 0.5}"
ricardof,Drag and Drop,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #4 > Drag and Drop,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@drag-and-drop-v2+block@aaa1958804674e3cbc63163d86877cb2,"{""attempts"": 4, ""completed"": true, ""raw_earned"": 1.0, ""item_state"": {""1"": {""correct"": true, ""zone"": ""zone-1""}, ""0"": {""correct"": true, ""zone"": ""bottom""}, ""3"": {""correct"": true, ""zone"": ""top""}, ""2"": {""correct"": true, ""zone"": ""middle""}}}"
dancurimil,Drag and Drop,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #4 > Drag and Drop,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@drag-and-drop-v2+block@aaa1958804674e3cbc63163d86877cb2,"{""attempts"": 5, ""completed"": true, ""item_state"": {""1"": {""correct"": true, ""zone"": ""zone-1""}, ""2"": {""correct"": true, ""zone"": ""middle""}}, ""raw_earned"": 0.5}"
Camila_Brito,freetextresponse,Taller 1: Nociones de probabilidad > Actividad 2: Realizando un experimento aleatorio > Realizando un experimento aleatorio #1 > freetextresponse,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@freetextresponse+block@750fc3b10d0949b097b62e437ce44c96,"{""student_answer"": ""HJSHJSJHHD"", ""score"": 1.0, ""count_attempts"": 1}"
